,Density,PoreAvgVolume,henry_coeff
21110N3.cif,0.34437,15708.6,1.01834e-05
20560N3.cif,1.04285,881.734,3.56285e-05
13141N2.cif,0.818447,1318.79,2.00373e-06
21823N2.cif,0.864519,2131.16,0.00111331
08010N2.cif,1.14317,225.53,4.21927e-07
20360N2.cif,0.43331,5942.82,6.29853e-05
15183N2.cif,0.578754,5938.63,1.51543e-05
12060N2.cif,0.818509,7623.81,2.48049e-06
22411N2.cif,0.386197,5128.02,8.98458e-06
20650N2.cif,0.812619,1943.56,1.64185e-05
17060N2.cif,0.751486,3591.27,1.14193e-05
21860N2.cif,0.457014,12097.9,3.69039e-06
21201N2.cif,0.579233,3161.43,1.87909e-05
19260N2.cif,0.840886,839.47,3.70639e-05
19341N2.cif,0.718609,1040.91,1.45763e-05
12023N2.cif,0.576825,6006.24,1.15889e-05
16055N2.cif,0.567522,7962.59,4.58981e-06
18121N3.cif,0.992781,1158.5,1.04159e-05
2245bN2.cif,0.63906,2722.18,3.01774e-06
21250N2.cif,0.739034,2407.2,0.0176939
22171N2.cif,0.477114,5434.65,1.64426e-05
16110N3.cif,0.176974,16283.0,5.79321e-06
20311N2.cif,0.280503,10267.9,6.39279e-06
21010N2.cif,0.41562,6377.07,4.77922e-06
21070N2.cif,0.915235,1309.25,0.000144909
19350N2.cif,0.782235,2202.46,2.63298e-06
22450N2.cif,0.843071,2175.49,5.40084e-06
21470N2.cif,0.719769,4410.37,6.44041e-06
21426N3.cif,0.240434,4386.59,7.13411e-06
22341N2.cif,1.04866,2409.57,2.26443e-06
20180N2.cif,0.558898,3237.5,8.34246e-06
22271N2.cif,0.524265,8145.43,1.69783e-05
15190N2.cif,1.10031,446.333,2.39476e-05
19453N2.cif,0.338466,14090.0,9.01397e-06
19030N2.cif,0.990703,2009.8,0.00082767
20220N2.cif,0.539296,4314.68,3.29811e-05
19522N2.cif,0.580412,5439.18,4.35372e-06
18060N2.cif,0.655476,2940.51,0.151867
18133N3.cif,0.601192,6997.79,7.00095e-06
18110N2.cif,0.525343,6014.9,3.1522e-06
21291N3.cif,0.377397,17859.0,7.18924e-06
17220N2.cif,0.573674,5191.62,0.000377085
19351N2.cif,0.59269,4501.73,3.89978e-06
14070N2.cif,0.466224,8752.83,1.27957e-05
16030N2.cif,0.441747,5759.63,8.81906e-06
13123N2.cif,0.616965,3056.42,5.86492e-06
20120N2.cif,0.847623,1366.15,1.51208e-05
20421N2.cif,0.970835,1004.59,5.73917e-05
17040N2.cif,0.700464,5672.9,3.66464e-06
18041N3.cif,1.14321,840.017,0.00121998
12011N2.cif,0.639688,12411.6,2.91458e-06
16010N2.cif,0.806233,1310.19,4.40773e-05
16041N2.cif,0.706854,2048.38,9.72751e-06
19364N2.cif,0.444202,8305.48,7.17337e-06
20370N3.cif,0.318408,9253.35,6.02516e-06
21310N2.cif,0.436662,10545.3,3.73894e-06
16050N2.cif,0.810656,2249.01,3.40009e-06
21034N2.cif,0.682493,2035.18,3.95231e-06
21150N2.cif,0.987896,858.023,0.00351797
11040N2.cif,0.344509,9688.6,5.09002e-06
22441N2.cif,0.5433,3302.19,2.60579e-05
12020N2.cif,0.747682,2834.27,4.18374e-06
221012N2.cif,0.557107,7240.6,0.000133843
