,COF_ID,SurfaceArea,henry_coeff_H2S,henry_coeff_H2O,henry_coeff_Kr,henry_coeff_Xe,CH4_1.0,CH4_5.8,CH4_20.0,CH4_35.0,CH4_50.0,CH4_65.0,henry_coeff_CH4,N2_0.001,N2_5.001,N2_10.001,N2_15.001,N2_20.001,N2_25.001,N2_30.0,henry_coeff_N2,CO2_0.001,CO2_30.0,henry_coeff_CO2,cof_x,o2_298K_1bar,o2_298K_5bar,o2_298K_10bar,o2_298K_20bar,o2_298K_30bar,o2_298K_50bar,o2_298K_80bar,o2_298K_100bar,o2_298K_140bar,o2_298K_200bar,henry_coeff_O2,cof_y,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,henry_coeff_77K_H2,henry_coeff_198K_H2,henry_coeff_298K_H2,Density,PoreAvgVolume
0,2245fN2.cif,247.602,4.86231e-05,4.45619e-06,1.05329e-05,5.6951e-05,0.95386078059853,4.6419279666133,9.2062863825425,11.006939376872,11.992087309696,12.619932199211,9.56983e-06,0.0003346219912144,1.2671819515614,2.3202895108772,3.2115446162163,3.9330627375617,4.6546122298404,5.1411107165049,2.79107e-06,0.0015476264740856,14.962725036142,1.54358e-05,2245fN2.cif,0.29480193736783,1.434754349569,2.6426350175794,4.7582822925766,6.3402075582184,8.5625364934962,10.553578920091,11.412783516798,12.604288623035,13.770968963443,3.0268e-06,2245fN2.cif,11.987099351263,18.751551770993,24.35246093109,26.154190989902,27.155407747643,28.019255223773,0.17637365254499,0.82899102316635,3.6254893957644,6.0435164010389,8.1405503301433,9.6860506024338,0.056746305555604,0.28571834568616,1.3812218089717,2.4661289105824,3.5621900770612,4.5472334405682,0.000270405,1.75347e-06,5.78016e-07,0.701006,878.064
1,22000N2.cif,769.628,1.62463e-05,5.04968e-06,3.80799e-06,1.33867e-05,0.34451497536786,1.7780958129722,5.138735126446,7.8100558188055,9.9831576806227,11.804825225575,3.53747e-06,0.0001487089828675,0.77483503385027,1.5031066608886,2.1218584958385,2.735939119209,3.3574814344846,3.9154900237268,1.62305e-06,0.00059483593147,16.268264113233,5.76561e-06,22000N2.cif,0.16877594796739,0.82533485491463,1.6174113831903,2.969910834783,4.2378561082347,6.6058804562423,9.6123212152873,11.254698212425,14.242699057594,17.573360389639,1.69366e-06,22000N2.cif,4.0221989244643,10.703081193595,22.978657825818,30.262336330796,35.487561768011,39.055119425615,0.15494892841145,0.73858794823025,3.4769618125743,6.4078117545007,9.1882323547616,11.494417092807,0.072400863631272,0.3691481810005,1.8030526793323,3.4687973978053,5.0628410596602,6.4916719574,6.84463e-05,1.5329e-06,7.45337e-07,0.502401,6662.27
2,20490N2.cif,1329.29,5.83504e-05,9.60368e-06,7.83947e-06,4.32258e-05,0.61501306079585,2.4987826669838,5.6309194848722,7.7516057000659,9.3040532892975,10.536658335759,6.69193e-06,0.0002141345637702,0.86126779843416,1.5991382323112,2.2357881933149,2.7720183584841,3.3080809400611,3.7835527529611,1.931e-06,0.001396529703,15.527194470241,1.49842e-05,20490N2.cif,0.22854674100427,1.0271196659624,1.8348352053949,3.1779616125522,4.3884549387072,6.3059833228971,8.5505789635575,9.745933907732,11.577789849751,13.89208163278,2.28649e-06,20490N2.cif,6.2136261585573,12.250420622697,21.332363621236,25.948421867542,28.719726444166,30.809307287793,0.15048383400281,0.7340470458871,3.0742584202036,5.57193627701,7.6656446417379,9.464499035191,0.0603300831696,0.29507120923479,1.3715163043072,2.5755731802435,3.7809955518925,4.8728955756688,0.000368855,1.5074e-06,5.80469e-07,0.565759,5415.1
3,21451N2.cif,1035.95,1.98406e-05,1.11434e-05,6.03704e-06,2.00917e-05,0.5579386423176,2.9308714395793,8.6193399276262,12.940497583643,16.319450232457,19.246189775639,5.5768e-06,0.000214246479825,1.2412624863994,2.3036699709983,3.4151909105438,4.4304437651545,5.4077035773429,6.3866773613699,2.57043e-06,0.001193658959025,26.052973877306,8.57393e-06,21451N2.cif,0.2807241018507,1.3237167744921,2.5364334680082,4.940258567218,6.9908218278364,10.922469181318,15.627117834009,18.427951862548,22.981995442135,28.478397062125,2.76794e-06,21451N2.cif,7.7516076769709,19.130374249974,35.853298214284,47.023157465755,54.834074009508,60.681472576732,0.24570330423015,1.2244016284974,5.7143617054658,10.548714496881,14.8109951798,18.749695663454,0.1175975122731,0.59312267535135,2.8469616357054,5.4942319492764,8.1519085204389,10.504062809923,0.000123342,2.49313e-06,1.19723e-06,0.341797,9020.88
4,20491N2.cif,1237.34,0.000109678,1.18985e-05,1.36158e-05,0.000133778,0.96700371735661,3.0593589999567,5.6681788973483,7.4364834276922,8.660327577808,9.71645782081,1.22804e-05,0.0002886161293098,1.0964527106081,1.8911432830198,2.5088749216282,3.0329925191641,3.5500064356201,3.9869898898775,2.73012e-06,0.00184341920796,13.982232280189,2.1183e-05,20491N2.cif,0.27641977922311,1.2111077992244,2.109858454887,3.4830754220636,4.5070668614913,6.2264183706368,8.2020423904715,9.1910274853533,10.735440373684,12.507022093722,2.87414e-06,20491N2.cif,7.3531012942065,13.356844555412,21.188552095818,24.666935178079,26.485961667236,28.004237726348,0.1577768224487,0.7563604871448,3.0576552337191,5.3593844562134,7.2133241879453,8.8838840526642,0.05874734949689,0.27576806534309,1.2994864056506,2.4282237795958,3.5231030667478,4.4587469337675,0.000345109,1.56306e-06,5.59433e-07,0.633766,4695.57
5,20491N2.cif,1237.34,0.000109678,1.18985e-05,1.36158e-05,0.000133778,0.96700371735661,3.0593589999567,5.6681788973483,7.4364834276922,8.660327577808,9.71645782081,1.22804e-05,0.0002886161293098,1.0964527106081,1.8911432830198,2.5088749216282,3.0329925191641,3.5500064356201,3.9869898898775,2.73012e-06,0.00184341920796,13.982232280189,2.1183e-05,20491N2.cif,0.27641977922311,1.2111077992244,2.109858454887,3.4830754220636,4.5070668614913,6.2264183706368,8.2020423904715,9.1910274853533,10.735440373684,12.507022093722,2.87414e-06,20491N2.cif,7.3531012942065,13.356844555412,21.188552095818,24.666935178079,26.485961667236,28.004237726348,0.1577768224487,0.7563604871448,3.0576552337191,5.3593844562134,7.2133241879453,8.8838840526642,0.05874734949689,0.27576806534309,1.2994864056506,2.4282237795958,3.5231030667478,4.4587469337675,0.000345109,1.56306e-06,5.59433e-07,0.633766,4695.57
6,13181N3.cif,162.54,0.0014552,2.02656e-05,9.0572e-05,0.000668117,3.6054754500759,5.941359447811,6.6652998753227,6.8320513883104,7.044162554242,7.1946247399776,7.36024e-05,0.0006721994468929,,,,,,4.7723585044776,6.67357e-06,0.013747860710842,7.4614603104541,0.000135478,13181N3.cif,1.0462002266164,3.3136119590957,4.654438140324,5.7249664632503,6.3109034160055,6.957301489374,7.3826656393908,7.650587778859,7.9680132666081,8.2340937636183,1.20883e-05,13181N3.cif,11.829108684705,14.035635718741,15.589051892783,16.424687933212,16.573925426774,16.825585863627,0.30225035412504,1.3251998452478,4.1528392022461,5.8704101734619,6.8840962031326,7.604040266664,0.057072498631955,0.27860366543726,1.2460920950098,2.1184596934554,2.9163328560385,3.5445723351711,0.00647646,3.11969e-06,5.78646e-07,0.938079,513.182
7,14080N2.cif,865.751,1.62172e-05,4.62514e-06,5.31263e-06,1.68881e-05,0.48393339568699,2.6090050891554,7.9266261159567,11.940730943856,15.23800401959,17.846858137468,4.92929e-06,0.0002314892912275,0.96811841016878,1.8558798420262,2.6509247803712,3.4722588503982,4.2192144046786,4.9955791636966,1.97897e-06,0.0004327843270775,16.844700736737,6.14248e-06,14080N2.cif,0.24545916671549,1.2150570953978,2.3142487681603,4.4652271327426,6.5073451419373,9.9406131438913,14.346438111555,16.789535832162,21.136341095315,26.258917297129,2.47886e-06,14080N2.cif,7.4918087090171,17.531821341611,32.66150850241,42.983505285974,50.235642060557,55.670285956449,0.224917008307,1.1044454731982,5.0978773009156,9.57630938801,13.49878471559,17.042714663503,0.1088301611323,0.54084956707357,2.53311686064,5.0410617770469,7.3475204273198,9.5609908357818,0.000108229,2.25336e-06,1.08873e-06,0.363681,8384.68
8,15050N2.cif,146.917,7.69871e-05,5.57803e-05,1.31478e-05,0.000110984,1.087705381384,3.8265219462187,5.7454173854108,6.4615745352826,6.7778801676766,7.0051670166999,1.21654e-05,0.0002210929022645,0.86033689803764,1.5104655192859,2.040884268441,2.453297261064,2.8009300493645,3.0838846760323,2.00665e-06,0.00238780275669,8.0439836672834,2.38793e-05,15050N2.cif,0.27557012549543,1.2203304771923,2.2212212008272,3.5634792815568,4.4595924038445,5.4954157973431,6.3851954599244,6.7623322383579,7.2677368828238,7.7659373019194,2.79326e-06,15050N2.cif,8.7546577145016,12.316824044712,15.231484254911,16.176941899504,16.674237538502,16.9659780548,0.12601952185493,0.59321592075819,2.4471644856485,4.0134338397024,5.1285615371437,5.964785709012,0.037827285592312,0.18632344643364,0.84045895034328,1.5721096067334,2.2310921461126,2.7835419472389,0.000250938,1.28324e-06,3.77277e-07,1.04417,484.478
9,19102N2.cif,602.663,4.443e-05,1.04556e-05,9.07391e-06,4.88328e-05,0.76494463406394,3.4680394342698,7.7719193188723,10.412678242148,12.259502791745,13.582419076065,8.24873e-06,0.0001998886933525,0.94827196126426,1.7394784421872,2.4734756032568,3.1351542108873,3.708564323165,4.2730499931925,2.08457e-06,0.0012169693977637,16.000884135095,1.32295e-05,19102N2.cif,0.27865659669182,1.2864013233077,2.4104695112962,4.3143387665282,5.867850174947,8.3588277970305,11.020663219297,12.456734141292,14.716981420454,17.058700979396,2.83634e-06,19102N2.cif,8.959416892525,16.1076658509,25.050750661362,30.000606133008,33.083636427564,35.138498074307,0.18148129632642,0.87200266659185,3.848439375878,6.8354878231495,9.3049068617471,11.347375409502,0.071683612883736,0.34797681973062,1.6353364329505,3.2093305533587,4.5875630940242,5.9047590342666,0.0002261,1.82519e-06,7.11702e-07,0.600086,3680.81
