,cof,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,Density,PoreAvgVolume,henry_coeff,henry_coeff_198,henry_coeff_298,henry_coeff_77
0,2245fN2.cif,11.987099351263,18.751551770993,24.35246093109,26.154190989902,27.155407747643,28.019255223773,0.17637365254499,0.82899102316635,3.6254893957644,6.0435164010389,8.1405503301433,9.6860506024338,0.056746305555604,0.28571834568616,1.3812218089717,2.4661289105824,3.5621900770612,4.5472334405682,0.701006,896.338,,1.75347e-06,5.78016e-07,0.000270405
1,22000N2.cif,4.0221989244643,10.703081193595,22.978657825818,30.262336330796,35.487561768011,39.055119425615,0.15494892841145,0.73858794823025,3.4769618125743,6.4078117545007,9.1882323547616,11.494417092807,0.072400863631272,0.3691481810005,1.8030526793323,3.4687973978053,5.0628410596602,6.4916719574,0.502401,6700.24,,1.5329e-06,7.45337e-07,6.84463e-05
2,20490N2.cif,6.2136261585573,12.250420622697,21.332363621236,25.948421867542,28.719726444166,30.809307287793,0.15048383400281,0.7340470458871,3.0742584202036,5.57193627701,7.6656446417379,9.464499035191,0.0603300831696,0.29507120923479,1.3715163043072,2.5755731802435,3.7809955518925,4.8728955756688,0.565759,5558.44,,1.5074e-06,5.80469e-07,0.000368855
3,21451N2.cif,7.7516076769709,19.130374249974,35.853298214284,47.023157465755,54.834074009508,60.681472576732,0.24570330423015,1.2244016284974,5.7143617054658,10.548714496881,14.8109951798,18.749695663454,0.1175975122731,0.59312267535135,2.8469616357054,5.4942319492764,8.1519085204389,10.504062809923,0.341797,9071.48,,2.49313e-06,1.19723e-06,0.000123342
4,20491N2.cif,7.3531012942065,13.356844555412,21.188552095818,24.666935178079,26.485961667236,28.004237726348,0.1577768224487,0.7563604871448,3.0576552337191,5.3593844562134,7.2133241879453,8.8838840526642,0.05874734949689,0.27576806534309,1.2994864056506,2.4282237795958,3.5231030667478,4.4587469337675,0.633766,4768.36,,1.56306e-06,5.59433e-07,0.000345109
5,13181N3.cif,11.829108684705,14.035635718741,15.589051892783,16.424687933212,16.573925426774,16.825585863627,0.30225035412504,1.3251998452478,4.1528392022461,5.8704101734619,6.8840962031326,7.604040266664,0.057072498631955,0.27860366543726,1.2460920950098,2.1184596934554,2.9163328560385,3.5445723351711,0.938079,549.836,,3.11969e-06,5.78646e-07,0.00647646
6,14080N2.cif,7.4918087090171,17.531821341611,32.66150850241,42.983505285974,50.235642060557,55.670285956449,0.224917008307,1.1044454731982,5.0978773009156,9.57630938801,13.49878471559,17.042714663503,0.1088301611323,0.54084956707357,2.53311686064,5.0410617770469,7.3475204273198,9.5609908357818,0.363681,8440.37,,2.25336e-06,1.08873e-06,0.000108229
7,15050N2.cif,8.7546577145016,12.316824044712,15.231484254911,16.176941899504,16.674237538502,16.9659780548,0.12601952185493,0.59321592075819,2.4471644856485,4.0134338397024,5.1285615371437,5.964785709012,0.037827285592312,0.18632344643364,0.84045895034328,1.5721096067334,2.2310921461126,2.7835419472389,1.04417,498.764,,1.28324e-06,3.77277e-07,0.000250938
8,19102N2.cif,8.959416892525,16.1076658509,25.050750661362,30.000606133008,33.083636427564,35.138498074307,0.18148129632642,0.87200266659185,3.848439375878,6.8354878231495,9.3049068617471,11.347375409502,0.071683612883736,0.34797681973062,1.6353364329505,3.2093305533587,4.5875630940242,5.9047590342666,0.600086,3705.52,,1.82519e-06,7.11702e-07,0.0002261
9,19430N2.cif,10.04397524397,18.230451869791,27.796881069542,32.703406490682,35.537452557321,37.584739113472,0.19270396128735,0.93090141639958,4.1008158663757,7.2690957004824,9.8609639797973,12.054330981282,0.072210593507123,0.36548039443816,1.7338263742801,3.3047497238266,4.7851777817489,6.1637503784622,0.561339,5478.54,,1.93466e-06,7.4429e-07,0.000255583
10,20410N2.cif,11.491963267085,19.555562607994,29.385931924891,35.208320096696,38.739873989348,41.516640233298,0.2387810717273,1.1140090304757,4.8527656520412,8.3481165209795,11.400320816787,13.915693285318,0.084606125930088,0.43568466461979,1.9963868026582,3.8694676954366,5.5777624113196,7.1904993028497,0.501955,8320.44,,2.39659e-06,8.76546e-07,0.000596111
11,22181N2.cif,10.574373555508,19.718410317244,30.119507689552,34.481960450366,36.895933014577,38.468096452291,0.19984663489796,0.96392347380261,4.2279741398297,7.4694516787495,10.053192969746,12.311505011614,0.07302955268439,0.36742075204079,1.7101887045992,3.3062577109827,4.7595203368791,6.0572400088024,0.563201,1826.23,,1.98879e-06,7.40282e-07,0.000250072
